Model,Series,Simplex_Duplex,Pump_Price,TEFC_AC_Price,XPFC_AC_Price,TEFC_DC_Price,XPFC_DC_Price,GPH_60Hz,GPH_50Hz,LPH_60Hz,LPH_50Hz,Max_Pressure_PSI,Max_Pressure_Bar,Max_Pressure_PSI_High_Pressure_Adder,Max_Pressure_Bar_High_Pressure_Adder,High_Pressure_Adder_Price,Max_SPM,Viton,Hypalon,EPDM,Liquid_End_Material,Conductive_Leak_Detection_Price_Adder,Vacuum_Leak_Detection_Price_Adder,Flange_Size,Ball_Size,Motor_HP_AC,Motor_HP_AC_High_Pressure,Motor_HP_DC_TEFC,Motor_HP_DC_XPFC,Liq_Inlet,Liq_Outlet,Spare_Parts_Kit_Model,Spare_Parts_Kit_Price,Spare_Parts_Kit_Info,Back_Pressure_Valve_150,Back_Pressure_Valve_750,Connection_Size,Pressure_Relief_Valve_150,Pressure_Relief_Valve_750,Port,Pulsation_Dampener,Calibration_Column,Calibration_Column_Info,Pressure_Gauge,Pressure_Gauge_Info,ECCA_Price,VFD_Price
CA4T3812-04013,Series 1000,Simplex,4256.7,698.5,1606.55,1475.2,6118,2.33,1.94,8.82,7.35,500,34,2500,172,554.4,117,0,0,0,316SS,1320,3108,"1/2""","1/4""",0.25,0.75,0.33,1,"1/4"" MNPT","1/4"" MNPT",1021-013316,584.43,"Diaphragm, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",395.232,691.2,"1/4"" FNPT",481.344,691.2,2-Port,988.8,85.56,"PVC, 100 ml (1.6 GPH)",289.248,"Pressure gauge Seal with a gauge, wetted material in 316SS, Max Pressure up to 300 PSI, with 1/4"" FNPT connection size. ",2946,822
CA4T3812-05013,Series 1000,Simplex,6048.9,698.5,1606.55,1475.2,6118,2.33,1.94,8.82,7.35,500,34,2500,172,554.4,117,0,0,0,Alloy 20,1320,3108,C/F,"1/4""",0.25,0.75,0.33,1,"1/4"" MNPT","1/4"" MNPT",1021-013C20,888.03,"Diaphragm, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",989.184,1267.2,"1/4"" FNPT",989.184,1267.2,2-Port,0,752.1,"PTFE, 100 ml (1.6 GPH)",0,"Pressure gauge Seal with a gauge, wetted material in Alloy 20, Max Pressure up to 300 PSI, with 1/4"" FNPT connection size. ",2946,822
CA4T3812-06013,Series 1000,Simplex,7642.5,698.5,1606.55,1475.2,6118,2.33,1.94,8.82,7.35,500,34,2500,172,554.4,117,0,0,0,Hast. C,1320,3108,C/F,"1/4""",0.25,0.75,0.33,1,"1/4"" MNPT","1/4"" MNPT",1021-013HC,948.75,"Diaphragm, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",1363.44,1440,"1/4"" FNPT",1363.44,1440,2-Port,0,752.1,"PTFE, 100 ml (1.6 GPH)",0,"Pressure gauge Seal with a gauge, wetted material in Hast C, Max Pressure up to 300 PSI, with 1/4"" FNPT connection size. ",2946,822
CA4T3812-08013,Series 1000,Simplex,4596.9,698.5,1606.55,1475.2,6118,2.33,1.94,8.82,7.35,150,10,0,0,0,117,0,0,0,PVC,1320,3108,C/F,"1/4""",0.25,0,0.33,1,"1/4"" MNPT","1/4"" MNPT",1021-013PVC,584.43,"Diaphragm, O-Rings, Balls, Valve seats, Retaining Ring, Spring wave washer, and hydraulic oil.",225.216,0,"1/4"" MNPT",172.224,0,2-Port,513.6,85.56,"PVC, 100 ml (1.6 GPH)",199.824,"Pressure gauge Isolator with a gauge, wetted material in PVC, Max Pressure up to 200 PSI, with 1/2"" FNPT connection size. ",2946,822
CA4T3812-0A013,Series 1000,Simplex,6893.7,698.5,1606.55,1475.2,6118,2.33,1.94,8.82,7.35,150,10,0,0,0,117,0,0,0,PVDF,1320,3108,C/F,"1/4""",0.25,0,0.33,1,"1/4"" MNPT","1/4"" MNPT",1021-013KYN,734.712,"Diaphragm, O-Rings, Balls, Valve seats, Retaining Ring, Spring wave washer, and hydraulic oil.",539.856,0,"1/4"" MNPT",369.84,0,2-Port,1701,572.7,"PVDF, 100 ml (1.6 GPH)",358.8,"Pressure gauge lsolator with a gauge, wetted material in PVDF, Max Pressure up to 200 PSI, with 1/2"" FNPT connection size. ",2946,822
CA4T3814-04013,Series 1000,Simplex,4256.7,698.5,1606.55,1475.2,6118,2.7,2.24,10.22,8.48,500,34,2500,172,554.4,140,0,0,0,316SS,1320,3108,"1/2""","1/4""",0.25,0.75,0.33,1,"1/4"" MNPT","1/4"" MNPT",1021-013316,584.43,"Diaphragm, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",395.232,691.2,"1/4"" FNPT",481.344,691.2,2-Port,988.8,90.39,"PVC, 250 ml (4 GPH)",289.248,"Pressure gauge Seal with a gauge, wetted material in 316SS, Max Pressure up to 300 PSI, with 1/4"" FNPT connection size. ",2946,822
CA4T3814-05013,Series 1000,Simplex,6048.9,698.5,1606.55,1475.2,6118,2.7,2.24,10.22,8.48,500,34,2500,172,554.4,140,0,0,0,Alloy 20,1320,3108,C/F,"1/4""",0.25,0.75,0.33,1,"1/4"" MNPT","1/4"" MNPT",1021-013C20,888.03,"Diaphragm, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",989.184,1267.2,"1/4"" FNPT",989.184,1267.2,2-Port,0,632.04,"PTFE, 250 ml (4 GPH)",0,"Pressure gauge Seal with a gauge, wetted material in Alloy 20, Max Pressure up to 300 PSI, with 1/4"" FNPT connection size. ",2946,822
CA4T3814-06013,Series 1000,Simplex,7642.5,698.5,1606.55,1475.2,6118,2.7,2.24,10.22,8.48,500,34,2500,172,554.4,140,0,0,0,Hast. C,1320,3108,C/F,"1/4""",0.25,0.75,0.33,1,"1/4"" MNPT","1/4"" MNPT",1021-013HC,948.75,"Diaphragm, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",1363.44,1440,"1/4"" FNPT",1363.44,1440,2-Port,0,632.04,"PTFE, 250 ml (4 GPH)",0,"Pressure gauge Seal with a gauge, wetted material in Hast C, Max Pressure up to 300 PSI, with 1/4"" FNPT connection size. ",2946,822
CA4T3814-08013,Series 1000,Simplex,4596.9,698.5,1606.55,1475.2,6118,2.7,2.24,10.22,8.48,150,10,0,0,0,140,0,0,0,PVC,1320,3108,C/F,"1/4""",0.25,0,0.33,1,"1/4"" MNPT","1/4"" MNPT",1021-013PVC,584.43,"Diaphragm, O-Rings, Balls, Valve seats, Retaining Ring, Spring wave washer, and hydraulic oil.",225.216,0,"1/4"" MNPT",172.224,0,2-Port,513.6,90.39,"PVC, 250 ml (4 GPH)",199.824,"Pressure gauge Isolator with a gauge, wetted material in PVC, Max Pressure up to 200 PSI, with 1/2"" FNPT connection size. ",2946,822
CA4T3814-0A013,Series 1000,Simplex,6893.7,698.5,1606.55,1475.2,6118,2.7,2.24,10.22,8.48,150,10,0,0,0,140,0,0,0,PVDF,1320,3108,C/F,"1/4""",0.25,0,0.33,1,"1/4"" MNPT","1/4"" MNPT",1021-013KYN,734.712,"Diaphragm, O-Rings, Balls, Valve seats, Retaining Ring, Spring wave washer, and hydraulic oil.",539.856,0,"1/4"" MNPT",369.84,0,2-Port,1701,632.04,"PVDF, 250 ml (4 GPH)",358.8,"Pressure gauge lsolator with a gauge, wetted material in PVDF, Max Pressure up to 200 PSI, with 1/2"" FNPT connection size. ",2946,822
